position,eval
xoox-o-x-,1
xoox--oxx,1
xoox--ox-,1
xoox--xxo,-1
xoox---xo,1
xoox---x-,-1
xooxo-x-x,-1
xooxo---x,1
xoox-ox-x,-1
xoox-o--x,1
xoox--o-x,1
xoox--xox,-1
xoox---ox,1
xoox----x,-1
xoox-----,1
xo-xoxoxo,0
xo-xoxox-,1
xo-xoxoox,-1
xo-xoxo-x,1
xo-xoxo--,-1
xo-xox-o-,-1
xo-xoxx-o,-1
xo-xox-xo,0
xo-xox--o,1
xo-xox---,1
xo-xo-x--,-1
xo-xooxx-,-1
xo-xoooxx,0
xo-xoo-xx,0
xo-xoo-x-,1
xo-xo-oxx,1
xo-xo-ox-,0
xo-xo-xxo,-1
xo-xo--xo,1
xo-xo--x-,0
xo-xoox-x,-1
xo-xoo--x,1
xo-xo-o-x,-1
xo-xo--ox,-1
xo-xo---x,1
xo-xo----,1
xo-xxooxo,0
xo-xxoox-,0
xo-xxoo-x,-1
xo-xxoo--,1
xo-xxoxo-,-1
xo-xxo-ox,-1
xo-xxo-o-,1
xo-xxox-o,-1
xo-xxo-xo,1
xo-xxo--o,1
xo-xxo---,-1
xo-x-ox--,-1
xo-x-ooxx,0
xo-x-oox-,0
xo-x-oxxo,-1
xo-x-o-xo,1
xo-x-o-x-,0
xo-x-oo-x,1
xo-x-oxox,-1
xo-x-o-ox,1
xo-x-o--x,-1
xo-x-o---,1
xo-xxxoo-,-1
xo-xx-oox,-1
xo-xx-oo-,1
xo-xxxo-o,-1
xo-xx-oxo,0
xo-xx-o-o,1
xo-xx-o--,-1
xo-x-xoox,1
xo-x-xoo-,1
xo-x-xoxo,0
xo-x-xo-o,1
xo-x-xo--,1
xo-x--oxo,0
xo-x--ox-,0
xo-x--oox,1
xo-x--o-x,1
xo-x--o--,1
xo-xxx-oo,-1
xo-xx-xoo,-1
xo-xx--oo,1
xo-xx--o-,-1
xo-x-xxoo,-1
xo-x-x-oo,1
xo-x-x-o-,1
xo-x--xo-,-1
xo-x---ox,1
xo-x---o-,1
xo-xx---o,-1
xo-x-x--o,-1
xo-x--x-o,-1
xo-x---xo,0
xo-x----o,1
xo-x-----,-1
xoooxxxox,-1
xoooxxxo-,1
xoooxxxxo,0
xoooxxx-o,0
xoooxxx--,0
xoooxxoxx,-1
xoooxxox-,1
xoooxx-xo,0
xoooxx-x-,0
xoooxx--x,-1
xoooxx---,1
xoo-xxoxo,1
xoo-xxox-,-1
xoo-xxo-x,-1
xoo-xxo--,1
xooxxxxoo,-1
xoo-xxxoo,1
xoo-xxxo-,-1
xoo-xx-ox,-1
xoo-xx-o-,1
xoo-xxx-o,0
xoo-xx-xo,0
xoo-xx--o,1
xoo-xx---,-1
xoooxoxxx,-1
xoooxoxx-,1
xooox-xxo,0
xooox-xx-,0
xooox-x-x,-1
xooox-x--,1
xoo-xoxxo,-1
xoo-xoxx-,1
xoo-xox-x,-1
xoo-xox--,1
xoo-x-xox,-1
xoo-x-xo-,1
xoo-x-xxo,1
xoo-x-x-o,1
xoo-x-x--,-1
xooox--xx,-1
xooox--x-,1
xoo-xo-xx,-1
xoo-xo-x-,1
xoo-x-oxx,-1
xoo-x-ox-,1
xoo-x--xo,0
xoo-x--x-,0
xoo-x---x,-1
xoo-x----,1
xo-oxxoxo,0
xo-oxxox-,0
xo-oxxo-x,-1
xo-oxxo--,1
xo-oxxxoo,1
xo-oxxxo-,-1
xo-oxx-ox,-1
xo-oxx-o-,1
xo-oxxx-o,0
xo-oxx-xo,0
xo-oxx--o,0
xo-oxx---,0
xo-oxoxxo,1
xo-oxoxx-,-1
xo-oxox-x,-1
xo-oxox--,1
xo-ox-xox,-1
xo-ox-xo-,1
xo-ox-xxo,0
xo-ox-x-o,1
xo-ox-x--,-1
xo-oxo-xx,-1
xo-oxo-x-,1
xo-ox-oxx,-1
xo-ox-ox-,1
xo-ox--xo,0
xo-ox--x-,0
xo-ox---x,-1
xo-ox----,1
xo--xoxox,-1
xo--xoxo-,1
xo--xoxxo,1
xo--xox-o,1
xo--xox--,-1
xo--xooxx,-1
xo--xoox-,1
xo--xo-xo,0
xo--xo-x-,0
xo--xo--x,-1
xo--xo---,1
xo--xxoox,-1
xo--xxoo-,1
xo--xxoxo,0
xo--xxo-o,1
xo--xxo--,-1
xo--x-oxo,0
xo--x-ox-,0
xo--x-o-x,-1
xo--x-o--,1
xo--xxxoo,-1
xo--xx-oo,1
xo--xx-o-,-1
xo--x-xoo,1
xo--x-xo-,-1
xo--x--ox,-1
xo--x--o-,1
xo--xx--o,0
xo--x-x-o,-1
xo--x--xo,0
xo--x---o,1
xo--x----,-1
xooooxxxx,-1
xooooxxx-,1
xooo-xxxo,0
xooo-xxx-,0
xooooxx-x,1
xooo-xxox,1
xooo-xx-x,-1
xooo-xx--,1
xoo-oxxxo,1
xoo-oxxx-,-1
xoo-oxxox,-1
xoo-oxx-x,1
xoo-oxx--,1
xoo--xxox,1
xoo--xxo-,1
xoo--xxxo,0
xoo--xx-o,1
xoo--xx--,-1
xoooox-xx,1
xooo-xoxx,1
xooo-x-xx,-1
xooo-x-x-,1
xoo-oxoxx,-1
xoo-ox-xx,1
xoo-ox-x-,1
xoo--xoxx,1
xoo--xox-,1
xoo--x-xo,1
xoo--x-x-,-1
xooo-x--x,1
xoo-ox--x,-1
xoo--xo-x,1
xoo--x-ox,1
xoo--x--x,1
xoo--x---,1
xo-ooxxxo,0
xo-ooxxx-,0
xo-ooxxox,-1
xo-ooxx-x,1
xo-ooxx--,0
xo-o-xxox,1
xo-o-xxo-,1
xo-o-xxxo,0
xo-o-xx-o,0
xo-o-xx--,0
xo-ooxoxx,1
xo-oox-xx,-1
xo-oox-x-,1
xo-o-xoxx,-1
xo-o-xox-,1
xo-o-x-xo,0
xo-o-x-x-,0
xo-oox--x,1
xo-o-xo-x,1
xo-o-x-ox,1
xo-o-x--x,-1
xo-o-x---,1
xo--oxxo-,-1
xo--oxxxo,0
xo--oxx-o,1
xo--oxx--,1
xo--oxoxx,1
xo--oxox-,0
xo--ox-xo,0
xo--ox-x-,0
xo--oxo-x,1
xo--ox-ox,-1
xo--ox--x,1
xo--ox---,0
xo---xoxo,0
xo---xox-,0
xo---xoox,1
xo---xo-x,-1
xo---xo--,1
xo---xxoo,1
xo---xxo-,1
xo---x-ox,1
xo---x-o-,1
xo---xx-o,0
xo---x-xo,0
xo---x--o,1
xo---x---,0
xooo--xxx,-1
xooo--xx-,1
xoo-o-xxx,-1
xoo-o-xx-,1
xoo--oxxx,-1
xoo--oxx-,1
xoo---xxo,1
xoo---xx-,-1
xooo--x-x,1
xoo-o-x-x,1
xoo--ox-x,1
xoo---xox,1
xoo---x-x,-1
xoo---x--,1
xo-oo-xxx,-1
xo-oo-xx-,1
xo-o-oxxx,-1
xo-o-oxx-,1
xo-o--xxo,0
xo-o--xx-,0
xo-oo-x-x,1
xo-o-ox-x,1
xo-o--xox,1
xo-o--x-x,-1
xo-o--x--,1
xo--ooxxx,-1
xo--ooxx-,1
xo--o-xxo,1
xo--o-xx-,-1
xo--oox-x,1
xo--o-xox,-1
xo--o-x-x,1
xo--o-x--,1
xo---oxxo,1
xo---oxx-,-1
xo---oxox,1
xo---ox-x,-1
xo---ox--,1
xo----xox,1
xo----xo-,1
xo----xxo,0
xo----x-o,1
xo----x--,-1
xooo---xx,1
xoo-o--xx,1
xoo--o-xx,1
xoo---oxx,1
xoo----xx,-1
xoo----x-,1
xo-oo--xx,1
xo-o-o-xx,1
xo-o--oxx,1
xo-o---xx,-1
xo-o---x-,1
xo--oo-xx,1
xo--o-oxx,0
xo--o--xx,0
xo--o--x-,1
xo---ooxx,1
xo---o-xx,-1
xo---o-x-,1
xo----oxx,0
xo----ox-,0
xo-----xo,0
xo-----x-,0
xoo-----x,1
xo-o----x,1
xo--o---x,0
xo---o--x,1
xo----o-x,1
xo-----ox,1
xo------x,0
xo-------,1
xxooxoxox,-1
xxooxoxo-,1
xxooxox-o,-1
xxooxox--,1
xxooxo-x-,-1
xxooxo--x,-1
xxooxo---,1
xxooxxoox,-1
xxooxxoo-,1
xxooxxoxo,-1
xxooxxo-o,1
xxooxxo--,-1
xxoox-ox-,-1
xxoox-o-x,-1
xxoox-o--,1
xxooxxxoo,0
xxooxx-oo,0
xxooxx-o-,0
xxoox-xoo,0
xxoox-xo-,0
xxoox--ox,-1
xxoox--o-,1
xxooxx--o,0
xxoox-x-o,1
xxoox--xo,-1
xxoox---o,1
xxoox----,-1
xxoooxxox,0
xxoooxxo-,0
xxoooxxxo,0
xxoooxx-o,0
xxoooxx--,0
xxoooxox-,-1
xxooox-xo,0
xxooox-x-,1
xxoooxo-x,-1
xxooox-ox,0
xxooox--x,1
xxooox---,0
xxoo-xoxo,1
xxoo-xox-,1
xxoo-xoox,1
xxoo-xo-x,1
xxoo-xo--,1
xxoo-xxoo,0
xxoo-xxo-,0
xxoo-x-ox,0
xxoo-x-o-,0
xxoo-xx-o,0
xxoo-x-xo,0
xxoo-x--o,0
xxoo-x---,0
xxooooxx-,-1
xxooo-xxo,0
xxooo-xx-,1
xxoooox-x,-1
xxooo-xox,0
xxooo-x-x,1
xxooo-x--,0
xxoo-oxxo,-1
xxoo-oxx-,1
xxoo-oxox,1
xxoo-ox-x,1
xxoo-ox--,-1
xxoo--xox,0
xxoo--xo-,0
xxoo--xxo,1
xxoo--x-o,0
xxoo--x--,1
xxoooo-xx,-1
xxooo-oxx,-1
xxooo--xx,1
xxooo--x-,-1
xxooxooxx,-1
xxoo-ooxx,1
xxoo-o-xx,1
xxoo-o-x-,1
xxoo--oxx,1
xxoo--ox-,1
xxoo---xo,1
xxoo---x-,1
xxooo---x,-1
xxoo-o--x,1
xxoo--o-x,1
xxoo---ox,1
xxoo----x,1
xxoo-----,1
xxoxoox--,-1
xxoxooox-,-1
xxoxoo-xo,-1
xxoxoo-x-,1
xxoxooo-x,-1
xxoxooxox,-1
xxoxoo-ox,1
xxoxoo--x,1
xxoxoo---,1
xxoxo-o--,-1
xxoxoxoo-,-1
xxoxoxxoo,-1
xxoxox-oo,1
xxoxox-o-,1
xxoxo-xo-,-1
xxoxo-oox,-1
xxoxo--ox,1
xxoxo--o-,1
xxoxoxo-o,-1
xxoxox--o,1
xxoxo-x-o,-1
xxoxo-oxo,-1
xxoxo--xo,1
xxoxo---o,1
xxoxo----,1
xxo-oxo--,-1
xxo-oxxoo,1
xxo-oxxo-,0
xxo-oxoox,-1
xxo-ox-ox,1
xxo-ox-o-,0
xxo-oxx-o,0
xxo-oxoxo,-1
xxo-ox-xo,1
xxo-ox--o,0
xxo-ox---,1
xxo-ooxxo,-1
xxo-ooxx-,1
xxo-ooxox,1
xxo-oox-x,1
xxo-oox--,1
xxo-o-xox,0
xxo-o-xo-,1
xxo-o-xxo,1
xxo-o-x-o,1
xxo-o-x--,0
xxo-oooxx,-1
xxo-oo-xx,1
xxo-oo-x-,-1
xxo-o-ox-,-1
xxo-o--xo,-1
xxo-o--x-,1
xxo-oo--x,-1
xxo-o-o-x,-1
xxo-o--ox,0
xxo-o---x,1
xxo-o----,0
xxoxxooox,-1
xxoxxooo-,1
xxoxxoo-o,-1
xxoxxoo--,1
xxox-ooxo,-1
xxox-oox-,1
xxox-ooox,1
xxox-oo-x,1
xxox-oo--,-1
xxoxxo-oo,-1
xxoxxo-o-,1
xxox-oxo-,-1
xxox-o-ox,-1
xxox-o-o-,1
xxox-o--o,-1
xxox-o---,1
xxo-xoox-,-1
xxo-xoo-x,-1
xxo-xoo--,1
xxo-xoxoo,-1
xxo-xoxo-,1
xxo-xo-ox,-1
xxo-xo-o-,1
xxo-xo--o,-1
xxo-xo---,1
xxo--oxox,-1
xxo--oxo-,1
xxo--ox-o,-1
xxo--ox--,1
xxo--ooxx,1
xxo--oox-,1
xxo--o-xo,-1
xxo--o-x-,1
xxo--oo-x,1
xxo--o-ox,1
xxo--o--x,1
xxo--o---,-1
xxoxx-ooo,-1
xxoxx-oo-,1
xxox-xooo,-1
xxox-xoo-,1
xxox--oox,1
xxox--oo-,-1
xxoxx-o-o,1
xxox-xo-o,1
xxox--oxo,1
xxox--o-o,-1
xxox--o--,1
xxo-xxooo,-1
xxo-xxoo-,1
xxo-x-oox,-1
xxo-x-oo-,1
xxo-xxo-o,1
xxo-x-oxo,-1
xxo-x-o-o,1
xxo-x-o--,-1
xxo--xoox,1
xxo--xoo-,-1
xxo--xoxo,1
xxo--xo-o,-1
xxo--xo--,1
xxo---oxo,1
xxo---ox-,1
xxo---oox,1
xxo---o-x,1
xxo---o--,1
xxoxx--oo,1
xxox-x-oo,1
xxox--xoo,-1
xxox---oo,1
xxox---o-,1
xxo-xx-oo,1
xxo-x-xoo,1
xxo-x--oo,-1
xxo-x--o-,1
xxo--xxoo,0
xxo--x-oo,0
xxo--x-o-,1
xxo---xoo,1
xxo---xo-,0
xxo----ox,0
xxo----o-,0
xxox----o,1
xxo-x---o,1
xxo--x--o,1
xxo---x-o,1
xxo----xo,1
xxo-----o,-1
xxo------,1
x-oxoxo--,-1
